Query,Method,Similarity Score (%),Text,Psalm Num,Verse
prayer,BERT,99.52,Psalter,142,"Hear my prayer, O Lord; give ear unto my supplication in Thy truth; hearken unto me in Thy righteousness. And enter not into judgment with Thy servant; for in Thy sight shall no man living be justified. For the enemy hath persecuted my soul; he hath brought my life down to the ground. He hath sat me in darkness, as those that have been long dead; and my spirit is faint within me, my heart within me is troubled. I remembered the days of old, I meditated on all Thy works, I mused on the works of Thy hands. I stretched forth my hands unto Thee; my soul thirsteth after Thee as a thirsty land. Hear me speedily, O Lord; my spirit waxeth faint. Turn not away Thy face from me, lest I be like unto them that go down into the pit. Cause me to hear Thy mercy in the morning, for in Thee do I hope. Cause me to know, O Lord, the way wherein I should walk, for I lifted up my soul unto Thee. Rescue me, O Lord, from mine enemies; have I fled unto Thee for refuge. Teach me to do Thy will, for Thou art my God. Thy good Spirit shall lead me into the land of uprightness; quicken me, O Lord, for Thy name's sake. In Thy righteousness Thou shalt bring my soul out of trouble, and in Thy mercy Thou shalt destroy my enemies. And Thou shalt destroy all them that afflict my soul, for I am Thy servant."
prayer,BERT,99.51,Bible,36,Of David Do not be envious of those who do evil Nor be jealous of those who work lawlessness For like grass they shall be dried up quickly And like green vegetables they shall swiftly wither Hope in the Lord and work goodness Dwell in the land and you shall be nurtured by its riches Delight in the Lord And He will give you the requests of your heart Reveal your way to the Lord And hope in Him and He will do it He shall bring forth your righteousness as light And your judgment as the noonday sun Submit to the Lord and supplicate Him Do not be envious of him who prospers in his way Nor of him who transgresses the law Cease from wrath and forsake anger Do not be envious so as to do evil Because evildoers will be destroyed But those whowait on the Lord these shall inherit the earth For in a little while the sinner shall no longer be present And you will look for his place but not find it But the gentle shall inherit the earth And they will delight in the fullness of peace The sinner will closely observe the just man And gnash at him with his teeth But the Lord shall laugh at him Because He foresees his day will come The sinners draw the sword And stretch their bow To cast down the poor and needy To slay the upright in heart May their sword enter their heart And may their bows be shattered Better the little with the just man Than the great riches of sinners For the arms of sinners shall be shattered But the Lord supports the righteous The Lord knows the ways of the blameless And their inheritance shall be forever They shall not be ashamed in an evil time And in days of famine they shall be filled But the sinners shall perish And the enemies of the Lord altogether When they glorify and exalt themselves Like smoke they shall vanish away The sinner borrows but will not repay However the righteous man is compassionate and gives For those who bless Him shall inherit the earth But those who curse Him shall be utterly destroyed The steps of a man are guided aright by the Lord And he shall desire His way When he falls he shall not be broken to pieces For the Lord supports him with His hand Iwas young but indeed Igrew old Yet I have not seen the righteous forsaken Nor his seed begging bread Day in and out he is merciful and lends And his seed shall be a blessing Turn away from evil and do good And dwell unto ages of ages For the Lord loves judgment And He will not abandon His holy ones They shall be kept forever But the lawless shall be banished And the seed of the ungodly shall be utterly destroyed The righteous shall inherit the earth And dwell upon it unto ages of ages The mouth of the righteous shall meditate on wisdom And his tongue shall speak of judgment The law of God is in his heart And his steps shall not be tripped up The sinner observes the righteous man And seeks to put him to death But the Lord will not leave him in his hands Nor condemn him when He judges him Wait on the Lord and keep His way And He shall exalt you to inherit the earth You shall see the sinners when they are utterly destroyed Isaw the ungodly greatly exalted And lifting himself up like the cedars of Lebanon And I passed by and behold he was not And I sought for him But his place was not found Keep innocence and behold uprightness For this is the remnant for the peaceful man But transgressors shall be utterly destroyed together The remnants of the ungodly shall be utterly destroyed Now the salvation of the righteous is from the Lord And He is their protector in time of affliction And the Lord shall help them and deliver them And He shall deliver them from sinners And save them because they hope in Him
prayer,BERT,99.51,Psalter,135,"O give thanks unto the Lord, for He is good; for His mercy endureth for ever. O give thanks unto the God of gods; for His mercy endureth for ever. O give thanks unto the Lord of lords; for His mercy endureth for ever. To Him Who alone hath done great wonders; for His mercy endureth for ever. To Him that by wisdom made the heavens; for His mercy endureth for ever. To Him that established the earth upon the waters; for His mercy endureth for ever. To Him that alone made great lights; for His mercy endureth for ever. The sun to rule the day; for His mercy endureth for ever. The moon and the stars to rule the night; for His mercy endureth for ever. To Him that smote Egypt in their firstborn; for His mercy endureth for ever. And brought out Israel from among them; for His mercy endureth for ever. With a strong hand, and with an upraised arm; for His mercy endureth for ever. To Him Which divided the Red Sea into parts; for His mercy endureth for ever. And led Israel through the midst of it; for His mercy endureth for ever. And overthrew Pharaoh and his host in the Red Sea; for His mercy endureth for ever. To Him Which led His people through the wilderness; for His mercy endureth for ever. To Him Which smote great kings; for His mercy endureth for ever. And slew mighty kings; for His mercy endureth for ever. Sihon, king of the Amorites; for His mercy endureth for ever. And Og, the king of Bashan; for His mercy endureth for ever. And gave their land for an heritage; for His mercy endureth for ever. Even an heritage unto Israel His servant; for His mercy endureth for ever. For the Lord remembered us in our low estate; for His mercy endureth for ever. And hath redeemed us from our enemies; for His mercy endureth for ever. Who giveth food to all flesh; for His mercy endureth for ever. O give thanks unto the God of heaven; for His mercy endureth for ever."
prayer,BERT,99.5,Bible,24,A psalm by David To You O Lord I lift up my soul O my God I trust in You let me not be ashamed Let not my enemies laugh at me For all who wait upon You shall not be ashamed Let those be ashamed who act lawlessly in vain Make known Your ways to me O Lord And teach me Your paths Lead me in Your truth and teach me For You are the God of my salvation And on You I wait all the day Remember Your compassion O Lord And Your mercy for they are from of old Donot remember the sins of my youth nor of my ignorance But remember me according to Your mercy Because of Your lovingkindness O Lord Good and upright is the Lord Therefore He will instruct sinners in His way He will guide the gentle in judgment He will teach the gentle His ways All the ways of the Lord are mercy and truth For those who seek His covenant and His testimonies For Your names sake O Lord Pardon my sin for it is great Whois the man whofears the Lord He will instruct him in the way He chooses His soul shall dwell among good things His seed shall inherit the earth The Lord is the strength of those who fear Him And to those who fear Him His name is the Lord And He will show them His covenant My eyes are always toward the Lord For He shall pluck my feet out of the trap Look upon me and have mercy on me For I am onlybegotten and poor The afflictions of my heart have been widened Bring me out of my distresses Look on my humiliation and my pain And forgive all my sins Look on my enemies because they multiply And they hate me with unjustified hatred Keep my soul and deliver me Let me not be ashamed because I hope in You The innocent and the upright cleave to me Because I wait upon You O Lord Redeem Israel O God Out of all his afflictions
prayer,BERT,99.5,Bible,40,For the End a psalm by David Blessed is he who understands the poor and needy The Lord will deliver him in an evil day May the Lord keep him and give him life And make him blessed on the earth And not deliver him into the hands of his enemies May the Lord help him on his bed of pain You turned his bed from sickness to wholeness O Lord I said Have mercy on me Heal my soul for I have sinned against You My enemies speak evil things against me When will he die and his name perish And if he comes to see us he speaks in vain His heart gathered lawlessness to itself He went forth and spoke the same All my enemies whisper together against me Against me they devise evils for me They testify a lawless word against me Since he is asleep will he rise up again For even the man of my peace in whom I hoped He who ate my bread dealt deceptively with me But You O Lord have mercy on me And raise me up and I will repay them By this I know You are pleased with me Because my enemy did not rejoice over me And because of my innocence You supported me And established me before You forever Blessed is the Lord God of Israel from everlasting to everlasting Amen Amen
prayer,SBERT,96.14,Bible,46,For the End a psalm for the sons of Korah Oh clap your hands all you nations Shout to God with the voice of rejoicing For the Lord Most High is fearsome A great King over all the earth He subdued the peoples under us And the nations under our feet He chose us for His inheritance Jacobs beauty which He loved Pause God ascended with a shout The Lord with the sound of the trumpet Sing praises to God sing praises Sing praises to our King sing praises For God is King of all the earth Sing praises with understanding God reigns over the nations God sits on His holy throne The rulers of the people gather together With the God of Abraham For Gods mighty ones of the earth are greatly exalted
prayer,SBERT,96.01,Psalter,62,"O God my God, early do I rise to Thee. My soul hath thirsted for Thee; how many ways hath my flesh longed after Thee, in a barren and untrodden land, where no water is. Thus have I appeared before Thee in the sanctuary, that I might see Thy power and Thy glory. Because Thy mercy is better than life; my lips shall praise Thee. Thus will I bless Thee while I live, and will lift up my hands in Thy name. Let my soul be satisfied as with marrow and fatness, and my mouth shall praise Thee with joyful lips. If I remembered Thee upon my bed, I meditated on Thee in the morning watches. Because Thou hast been my help; in the shelter of Thy wings will I rejoice. My soul hath cleaved unto Thee; Thy right hand hath upheld me. But they have sought my soul in vain; they shall go into the lower parts of the earth; they shall be given over to the power of the sword; they shall be portions for foxes. But the king shall be glad in God; every one that sweareth by Him shall be praised; for the mouth of them that speak unjust things is stopped."
prayer,SBERT,96.0,Psalter,134,"Praise ye the name of the Lord; O ye servants, praise the Lord, Ye that stand in the house of the Lord, in the courts of the house of our God. Praise the Lord, for the Lord is good; sing praises unto His name, for it is good. For the Lord hath chosen Jacob unto Himself, and Israel for His own possession. For I know that the Lord is great, and that our Lord is above all gods. Whatsoever the Lord willed, that hath He done, in heaven, and in earth, in the seas and all deep places. He bringeth up clouds from the ends of the earth; He made lightnings for the rain; He bringeth winds out of His treasuries. He smote the firstborn of Egypt, from man unto beast. He sent signs and wonders into the midst of thee, O Egypt; unto Pharaoh, and unto all his servants. He smote many nations, and slew mighty kings: Sihon, king of the Amorites, and Og, the king of Bashan; and all the kingdoms of Canaan. And gave their lands for an heritage, an heritage unto Israel His people. Thy name, O Lord, endureth for ever; and Thy memorial from generation to generation. For the Lord will judge His people, and be entreated concerning His servants. The idols of the heathen are silver and gold, the work of men's hands. They have a mouth, but they speak not; eyes have they, but they see not. They have ears, but they hear not; neither is there any breath in their mouths. Let those who make them be like unto them, yea, all that trusteth in them. Bless the Lord, O house of Israel. Bless the Lord, O house of Aaron. Bless the Lord, O house of Levi. Ye that fear the Lord, bless the Lord. Blessed be the Lord out of Zion, Who dwelleth at Jerusalem."
prayer,SBERT,95.92,Bible,124,1An ode of ascents Those who trust in the Lord are like Mount Zion He whodwells in Jerusalem shall be unshaken forever The mountains surround her And the Lord surrounds His people From this present time and unto the ages The Lord will not permit the rod of sinners To be upon the inheritance of the righteous Lest the righteous stretch out Their hands in lawlessness Do good O Lord to the good And to the upright in heart But those who turn aside to crooked ways The Lord shall lead away with the workers of lawlessness Peace be upon Israel
prayer,SBERT,95.85,Psalter,71,"Give the king Thy judgment, O Lord, and Thy righteousness unto the king's son. That he may judge Thy people with righteousness, and Thy poor with judgment. Let the mountains receive peace for the people, and the hills righteousness. He shall judge the poor of the people, and shall save the children of the needy, and shall humble the false accuser. And He shall continue as long as the sun, and before the moon, from generation to generation. He shall come down like rain upon a fleece, and as raindrops that fall upon the earth. In His days shall righteousness spring up, and abundance of peace, until the moon be taken away. He shall have dominion also from sea to sea, and from the rivers unto the ends of the earth. The Ethiopians shall fall down before Him, and His enemies shall lick the dust. The kings of Tarshish and of the isles shall bring presents; the kings of the Arabians and of Sheba shall offer gifts. Yea, all the kings of the earth shall worship Him; all nations shall serve Him. For He hath delivered the needy from the oppressor, the poor also that had no helper. He shall spare the poor and needy, and shall save the souls of the needy. He shall redeem their souls from usury and injustice, and precious shall His name be in their sight. And He shall live, and to Him shall be given of the gold of Arabia; they and shall pray concerning Him continually; all the day long shall they bless Him. He shall be a firmament in the earth, upon the tops of the mountains; the fruit thereof shall be exalted above Lebanon, and they of the city shall flourish like grass of the earth. His name shall be blessed unto the ages; His name continueth before the sun. And in Him shall all the tribes of the earth be blessed; all nations shall call Him blessed. Blessed be the Lord God of Israel, who only doeth wondrous things. And blessed be the name of His glory for ever, yea, for ever and ever. And all the earth shall be filled with His glory. So be it. So be it. The praises of David the son of Jesse are ended."
mercy,BERT,99.47,Psalter,42,"Judge me, God, and give judgment in my cause against a nation that is not holy; deliver me from an unjust and deceitful man. For Thou, O God, art my strength: why hast Thou cast me off, and why go I mourning while mine enemy oppresseth me? O send out Thy light and Thy truth; they have led me, and brought me unto Thy holy mount, and to Thy tabernacles. And I will go unto the altar of God, unto God Which giveth gladness to my youth; upon the harp will I praise Thee, O God, my God. Why art thou cast down, O my soul, and why dost thou disquiet me? Hope thou in God, for I shall praise Him, the salvation of my countenance, and my God."
mercy,BERT,99.47,Psalter,99,"Shout with jubilation unto God, all the earth; Serve the Lord with gladness; come before His presence with rejoicing. Know ye that the Lord, He is our God; it is He that hath made us, and not we ourselves; we are His people, and the sheep of His pasture. Enter into His gates with thanksgiving, and into His courts with hymns; be thankful unto Him, and praise His name. For the Lord is good; His mercy endureth for ever and ever, and His truth from generation to generation."
mercy,BERT,99.47,Psalter,149,"Sing unto the Lord a new song, His praise is in the congregation of the saints. Let Israel be glad in Him that made him, and let the sons of Zion be joyful in their king. Let them praise His name in the dance; let them sing praises unto Him with the timbrel and psaltery. For the Lord taketh pleasure in His people, and shall exalt the meek with salvation. The saints shall rejoice in glory, and shall exult upon their beds. The high praises of God shall be in their mouth, and twoedged swords in their hands; To execute vengeance among the heathen, and punishments among the peoples; To bind their kings with chains, and their nobles with fetters of iron; To execute among them the judgment written; this glory shall be for all His saints."
mercy,BERT,99.46,Bible,12,For the End a psalm by David How long O Lord Will You forget me to the end How long will You turn Your face from me How long will I take counsel in my soul Having grief in my heart daily How long will my enemy be exalted over me Look upon me and hear me O Lord my God Enlighten my eyes lest I sleep in death Lest my enemy say I prevailed against him Those who afflict me greatly rejoice if I am shaken But I hope in Your mercy My heart shall greatly rejoice in Your salvation I will sing to the Lord who shows kindness to me I will sing to the name of the Lord Most High
mercy,BERT,99.46,Bible,16,A prayer of David Listen O Lord of my righteousness Attend tomy supplication Give ear to my prayer that is not with deceitful lips From Your face let my judgment come Let my eyes behold uprightness You tested my heart when You visited me in the night You tried me in the fire and found nothing unjust in me That my mouth might not speak of the works of men I held to hard ways because of the words of Your lips Restore my steps in Your paths That my footsteps may not slip I cried out because You listened to me O God Incline Your ear tome and hear my words Magnify Your mercies O You who save those who hope in You From those who rise up against Your right hand Keep me as the apple of Your eye In the shelter of Your wings You will shelter me From the face of the ungodly who trouble me My enemies surrounded my soul Their fat enclosed them Their mouth spoke arrogantly Casting me out they now surround me They set their eyes to bend down to the earth They seized me like a lion ready to tear its prey Like a young lion lurking in secret places Arise O Lord outrun them and trip up their heels Rescue my soul from the ungodly And Your sword from the enemies of Your hand O Lord destroy them from the earth Scatter them in their life Their belly is filled with Your hidden things They are satisfied with their sons And they leave their possessions to their children As for me in righteousness I shall behold Your face I shall be satisfied when Your glory is revealed
mercy,SBERT,97.37,Bible,39,For the End a psalm by David Iwaited patiently for the Lord and He heeded me And He heard my supplication And brought me up out of a miserable pit And from miry clay And He established my feet on a rock And kept straight my steps He put a new song in my mouth A hymn to our God Many will see and be afraid And shall hope in the Lord Blessed is the man whose hope is the name of the Lord And who did not look into vanities and false frenzies Many O Lord my God are the wonders You performed And in Your thoughts there is no one who shall be likened to You I declared and said They are multiplied beyond number Sacrifice and offering You did not will But a body You prepared for me A whole burnt offering and a sin offering You did not require Then I said Behold I come it is written of me in the volume of the book I willed to do Your will O my God And Your law in the midst of my heart I proclaimed righteousness in the great church Behold I shall not restrain my lips O Lord You know I did not hide Your righteousness in my heart I declared Your truth and Your salvation I did not hide Your mercy and Your truth from the great congregation O Lord do not remove Your compassion from me May Your mercy and Your truth take hold of me continually For evils without number surrounded me My transgressions overpowered me and I could not see They multiplied more than the hairs of my head And my heart failed me Be pleased O Lord to deliver me O Lord give heed to help me May those who seek my soul to make away with it Be disgraced and confounded together May those who wish evil for me be turned back and disgraced May those who say to me Well done Well done Receive their shame immediately May all who seek You O Lord Rejoice exceedingly and be glad in You And may those wholove Your salvation Say continually The Lord be magnified But I am poor and needy the Lord will take care of me You are my helper and my protector O my God do not delay
mercy,SBERT,97.2,Bible,121,1An ode of ascents Iwas glad when they said to me Let us go into the house of the Lord Our feet stand in your courts O Jerusalem Jerusalem is built as a city Whose compactness is complete There the tribes went up The tribes of the Lord a testimony to Israel To give thanks to the name of the Lord For thrones sat there for judgment Thrones over the house of David Ask now for things regarding the peace of Jerusalem And there is prosperity for those who love you Let there now be peace in your power And prosperity in your citadels For the sake of my brothers and my neighbors I indeed spoke peace concerning you For the sake of the house of the Lord our God I sought good things for you
mercy,SBERT,97.18,Psalter,34,"Judge Thou, O Lord, them that do me injustice; fight against them that fight against me. Take hold of weapon and buckler, and rise up for mine help. Draw out the sword, and stop the way against them that persecute me; say unto my soul, I am Thy salvation. Let them be ashamed and confounded that seek after my soul; let them be turned back and put to shame that devise evil against me. Let them become as chaff before the face of the wind, and let the angel of the Lord afflict them. Let their way be dark and slippery, and let the angel of the Lord pursue them. For without cause have they hid for me destruction in their snare; without cause have they reproached my soul. Let a snare come upon him unawares, and let the snare that he hath hid catch himself; and into that very snare let him fall. But my soul shall exult in the Lord; it shall delight in His salvation. All my bones shall say, Lord, O Lord, who is like unto Thee, Which deliverest the poor from the hand of them that are too strong for him, yea, the poor and needy from them that spoil him? Unjust witnesses did rise up; they charged me with things that I knew not. They rewarded me evil for good, and barrenness to my soul. But as for me, when they troubled me, I put on sackcloth, and humbled my soul with fasting; and my prayer shall return into mine own bosom. I sought to please, as though it had been my neighbour or brother; I humbled myself, as one that is mourning and sad of countenance. But they rejoiced against me, and gathered themselves together; plagues were gathered together upon me, and I knew it not. They were scattered, yet they were not pricked at the heart. They tempted me, they scoffed at me with scorn, they gnashed upon me with their teeth. Lord, when wilt Thou look upon me? Rescue my soul from their mischief, mine onlybegotten one from the lions. I will give Thee thanks in the great congregation; I will praise Thee among a mighty people. Let not them that are my enemies wrongfully rejoice over me, they that hate me without a cause, and wink with the eyes. For they spake unto me peaceably indeed, but in their anger they devised deceits. Yea, they opened their mouth wide against me; they said, Aha, aha, our eyes have seen it. This Thou hast seen, O Lord, keep not silence; O Lord, be not far from me. Arise, O Lord, and attend to my judgment, even unto my cause, my God and my Lord. Judge me, O Lord, according to Thy righteousness; let them not rejoice over me, O Lord my God. Let them not say in their hearts, Aha, aha, it is well to our soul; neither let them say, We have swallowed him up. Let them be ashamed and brought to confusion together that rejoice at my woes. Let them be clothed with shame and confusion that speak great words against me. Let them exult and be glad, that favour my righteous cause; yea, let them that desire the peace of Thy servant say continually, Let the Lord be magnified. And my tongue shall speak of Thy righteousness, and of Thy praise all the day long."
mercy,SBERT,97.12,Psalter,55,"Be merciful unto me, O God, for man hath trod me down; he fighting all the day long hath oppressed me. My enemies have trod me down all the day long, for they be many that fight against me from on high. By day I will not be afraid, but I will hope in Thee. In God I will praise my words, in God I have put my hope; I will not fear what flesh can do unto me. All the day long they abhorred my words; all their thoughts were against me for evil. They will dwell near, and hide themselves; they will mark where I set my heel, as they have waited for my soul. By no means shalt Thou save them; in wrath shalt Thou cast down the peoples, O God. I have declared my life unto Thee; Thou hast set my tears in Thy sight. As also in Thy promise, shall mine enemies be turned back. In whatsoever day I call upon Thee, behold, I know that Thou art my God. In God will I praise His word; in the Lord will I praise His speech. In God have I put my hope; I will not be afraid what man can do unto me. Thy vows are upon me, O God, which I will render in praise of Thee. For Thou hast delivered my soul from death, mine eyes from tears, and my feet from sliding; that I may be pleasing before the Lord in the light of the living."
