Query,Method,Similarity Score (%),Text,Psalm Num,Verse
Create in me a clean heart,SBERT,7.74,Psalter,15,"Preserve me, O Lord, for in Thee have I put my hope. I said unto the Lord, Thou art my Lord, for Thou hast no need of my goods. In the saints that are in His earth hath the Lord wrought wonders; He hath fulfilled all His desires in them. Their infirmities were multiplied; they hastened afterwards. Their meetings for blood will I not assemble, nor make remembrance of their names by my lips. The Lord is the portion of mine inheritance and of my cup; it is Thou that restorest mine inheritance to me. Portions are fallen unto me among the best places, for mine inheritance is most excellent to me. I will bless the Lord, Who hath given me understanding; my reins also have instructed me till the night season. I beheld the Lord always before me, because He is at my right hand, that I be not moved. Therefore my heart was glad, and my tongue rejoiced; my flesh also shall rest in hope. For Thou wilt not leave my soul in Hades, neither wilt Thou suffer Thine Holy One to see corruption. Thou hast made known to me the paths of life; with Thy presence shalt Thou fill me with joy; at Thy right hand there are delights for evermore."
Create in me a clean heart,SBERT,7.49,Psalter,117,"O give thanks unto the Lord, for He is good; for His mercy endureth for ever. Let the house of Israel now say that He is good, for His mercy endureth for ever. Let the house of Aaron now say that He is good, for His mercy endureth for ever. Let all that fear the Lord now say that He is good, for His mercy endureth for ever. I called upon the Lord out of my trouble, and the Lord heard me, and set me at large. The Lord is my helper, and I will not fear what man shall do unto me. The Lord is my help, and I shall see my desire upon mine enemies. It is better to trust in the Lord than to trust in man. It is better to hope in the Lord than to hope in princes. All the nations compassed me about, but in the name of the Lord I warded them off. They compassed me, yea, they compassed me about; but in the name of the Lord I warded them off. They compassed me about, like bees around a honeycomb, and they kindled like fire among thorns; but in the name of the Lord I warded them off. I was thrust, and overturned, that I might fall; but the Lord was quick to help me. The Lord is my strength and my song, and is become my salvation. The voice of rejoicing and salvation is in the tabernacles of the righteous. The right hand of the Lord hath wrought mightily, the right hand of the Lord hath exalted me; the right hand of the Lord hath wrought mightily. I shall not die, but live, and declare the works of the Lord. The Lord hath chastened me sore, but He hath not given me over unto death. Open to me the gates of righteousness, and I will go in by them, and I will praise the Lord. This is the gate of the Lord; the just shall enter thereby. I will praise Thee, for Thou hast heard me, and art become my salvation. The stone which the builder rejected is become the head stone of the corner. This is the Lord's doing, and it is marvellous in our eyes. This is the day which the Lord hath made; let us rejoice and be glad in it. Save now, O Lord; O Lord, send now prosperity. Blessed is he that cometh in the name of the Lord; we have blessed you out of the house of the Lord. God is the Lord, and hath appeared unto us; appoint a feast with thick boughs, even to the horns of the altar. Thou art my God, and I will praise Thee; Thou art my God, and I will exalt Thee; I will praise Thee, for Thou hast heard me, and art become my salvation. O give thanks unto the Lord, for He is good; for His mercy endureth for ever."
Create in me a clean heart,SBERT,7.45,Bible,3,A psalm by David when he fled from the face of his son Absalom OLord why do those who afflict me multiply Many are those who rise up against me Many are those who say to my soul There is no salvation for him in his God Pause But You O Lord are my protector My glory and the One who lifts up my head I cried to the Lord with my voice And He heard me from His holy hill Pause I lay down and slept Iawoke for the Lord will help me I will not be afraid of ten thousands of people Who set themselves against me all around Arise O Lord and save me O my God For You struck all those who were foolishly at enmity with me You broke the teeth of sinners Salvation is of the Lord And Your blessing is upon Your people
Create in me a clean heart,SBERT,7.33,Psalter,19,"The Lord hear Thee in the day of trouble; the name of the God of Jacob defend Thee. Send Thee help from the sanctuary, and help Thee out of Zion. Remember all Thy sacrifices, and fatten Thy whole burntoffering. The Lord grant Thee according to thine own heart, and fulfil all thy counsels. We will rejoice in Thy salvation, and in the name of the Lord our God shall we be magnified. The Lord fulfil all Thy petitions; now know I that the Lord hath saved His anointed. He will hear him from His holy heaven; in mighty deeds is the salvation of His right hand. Some trust in chariots, and some in horses, but we will call upon the name of the Lord our God. They are bound, and are fallen, but we are risen, and set upright. O Lord, save the king, and hear us in the day when we call upon Thee."
Create in me a clean heart,SBERT,7.27,Bible,71,For Solomon OGod give Your judgments to the King And Your righteousness to the Kings Son That He may judge Your people in righteousness And Your poor with judgment Let the mountains raise up peace for Your people And the hills in righteousness He shall judge the poor of the people And shall serve the sons of the poor He shall humble the false accuser And He shall continue as long as the sun And before the moon from generation to generation And He shall come down like rain on the fleece Like raindrops falling on the earth In His days righteousness and abundance of peace shall flourish Until the moon is removed And He shall rule from sea to sea And from the river to the ends of the inhabited earth The Ethiopians shall bow down before Him And His enemies shall lick the dust The kings of Tarshish and their islands will come bearing gifts The kings of Arabia and Saba will bring presents All the kings of the earth shall worship Him All the Gentiles shall serve Him For He rescued the poor from the hand of a strong man And the needy for whom there was no helper He shall spare the poor and needy And He shall save the souls of the needy He shall redeem their souls from usury and injustice And precious shall be their name in His sight He shall live and there shall be given Him from the gold of Arabia They shall pray continually because of Him All the day long shall they bless Him He shall be a support on the earth upon the summits of the mountains His fruit shall be exalted more than Lebanon And they shall flourish from the city like the grass of the earth Let His name be blessed unto the ages His name shall remain before the sun And all the tribes of the earth shall be blessed in Him All the Gentiles shall bless Him Blessed is the Lord God The God of Israel who alone does wondrous things And blessed is the name of His glory forever and unto ages of ages And all the earth shall be filled with His glory Amen Amen The hymns of David the son of Jesse are ended
Create in me a clean heart,TF-IDF,15.047025141772775,Psalter,50,"Have mercy upon me, O God, according to Thy great mercy; and according to the multitude of Thy tender mercies blot out my transgression. Wash me thoroughly from mine iniquity, and cleanse me from my sin. For I acknowledge my transgression, and my sin is ever before me. Against Thee only have I sinned, and done this evil in Thy sight; that Thou mightest be justified in Thy words, and overcome when Thou art judged. For behold, I was conceived in iniquities, and in sins did my mother bear me. For behold, Thou hast loved truth; the hidden and secret things of Thy wisdom hast Thou revealed to me. Thou shalt sprinkle me with hyssop, and I shall be cleansed; Thou shalt wash me, and I shall be made whiter than snow. Thou shalt make me to hear joy and gladness; the bones that are humbled shall rejoice. Turn away Thy face from my sins, and blot out all mine iniquities. Create in me a clean heart, O God, and renew a right spirit within me. Cast me not away from Thy presence, and take not Thy Holy Spirit from me. Restore unto me the joy of Thy salvation, and stablish me with Thy sovereign Spirit. I will teach transgressors Thy ways, and the ungodly shall turn again to Thee. Deliver me from bloodguiltiness, O God, Thou God of my salvation; my tongue shall rejoice in Thy righteousness. O Lord, Thou shalt open my lips, and my mouth shall shew forth Thy praise. For hadst Thou desired sacrifice, I would have given it; Thou delightest not in whole burnt offerings. A sacrifice to God is a contrite spirit; a contrite and humbled heart God will not despise. Do good, O Lord, in Thy good pleasure unto Zion, and let the walls of Jerusalem be builded. Then shalt Thou be pleased with the sacrifice of righteousness, oblation and whole burnt offerings. Then shall they offer calves upon Thine altar."
Create in me a clean heart,TF-IDF,14.213438249823538,Psalter,54,"Give ear to my prayer, O God, and despise not my supplication; attend unto me, and hear me. I was grieved in my meditation, and was troubled, because of the voice of the enemy, and because of the oppression of the sinner. For they brought iniquity upon me, and in wrath were they angry with me. My heart is troubled within me, and the terror of death is fallen upon me. Fearfulness and trembling are come upon me, and darkness hath covered me. And I said, Who will give me wings like a dove? and I will fly away, and be at rest. Lo, I fled afar off, and lodged in the wilderness. I waited for God Which saveth me from faintheartedness and from tempest. Drown, O Lord, and divide their tongues, for I have seen iniquity and strife in the city. Day and night they go about it upon the walls thereof; iniquity and toil and unrighteousness are in the midst of it. And usury and deceit have not departed from her streets. For had an enemy reproached me, then I could have borne it; and if he that hated me had spoken great things against me, then I would have hid myself from him. But it was thou, a man of like mind with me, my guide and my familiar friend. Who sweetened my meals together with me; we walked in the house of God in company. Let death come upon them, and let them go down quick into Hades; for wickedness is in their dwellings, and in the midst of them. As for me, I cried unto God, and the Lord heard me. Evening, and morning, and at noon will I declare and tell of it; and He shall hear my voice. He shall redeem my soul in peace from them that draw near to me, for they among many were with me. God shall hear, and bring them down, even He that abideth from everlasting. For there is no change with them, for they have not feared God. He hath put forth His hand to repay; they have defiled His covenant. They were scattered at the wrath of His countenance, and their hearts have drawn near. Their words are smoother than oil, and yet are they very darts. Cast thy care upon the Lord, and He shall nourish thee; He shall never suffer the righteous to be moved. But Thou, O God, shalt bring these men down into the pit of destruction. Bloody and deceitful men shall not live out half their days; but I will trust in Thee, O Lord. O Lord, our Hope, glory to Thee."
Create in me a clean heart,TF-IDF,14.201301187938222,Psalter,23,"The earth is the Lord's, and the fulness thereof; the world, and all they that dwell therein. He hath founded it upon the seas, and prepared it upon the rivers. Who shall ascend into the mountain of the Lord, or who shall stand in His holy place? He that is innocent in hands, and pure in heart, who hath not received his soul in vain, nor sworn deceitfully to his neighbour. He shall receive a blessing from the Lord, and mercy from God his Saviour. This is the generation of them that seek the Lord, that seek the face of the God of Jacob. Lift up your gates, O ye princes, and be ye lifted up, ye everlasting gates; and the King of Glory shall come in. Who is this King of Glory? the Lord strong and mighty, the Lord mighty in battle. Lift up your gates, ye princes, and be ye lifted up, ye everlasting gates; and the King of Glory shall come in. Who is this King of Glory? the Lord of hosts, He is the King of Glory."
Create in me a clean heart,TF-IDF,12.528866477957171,Bible,50,For the End a psalm by David 2when Nathan the prophet came to him at the time he went in to Bathsheba Have mercy on me O God according to Your great mercy And according to the abundance of Your compassion blot out my transgression Wash me thoroughly from my lawlessness And cleanse me from my sin For I know my lawlessness And my sin is always before me Against You only have I sinned And done evil in Your sight That You may be justified in Your words And overcome when You are judged For behold I was conceived in transgressions And in sins my mother bore me Behold You love truth You showed me the unknown and secret things of Your wisdom You shall sprinkle me with hyssop and I will be cleansed You shall wash me and I will be made whiter than snow You shall make me hear joy and gladness My bones that were humbled shall greatly rejoice Turn Your face from my sins And blot out all my transgressions Create in me a clean heart O God And renew a right spirit within me Do not cast me away from Your presence And do not take Your Holy Spirit from me Restore to me the joy of Your salvation And uphold me with Your guiding Spirit I will teach transgressors Your ways And the ungodly shall turn back to You Deliver me from bloodguiltiness O God the God of my salvation And my tongue shall greatly rejoice in Your righteousness O Lord You shall open my lips And my mouth will declare Your praise For if You desired sacrifice I would give it You will not be pleased with whole burnt offerings A sacrifice to God is a broken spirit A broken and humbled heart God will not despise Do good O Lord in Your good pleasure to Zion And let the walls of Jerusalem be built Then You will be pleased with a sacrifice of righteousness With offerings and whole burnt offerings Then shall they offer young bulls on Your altar
Create in me a clean heart,TF-IDF,12.483191254643586,Psalter,40,"Blessed is he that considereth the poor and needy; the Lord will deliver him in an evil day. The Lord preserve him, and keep him alive, and make him blessed upon the earth, and deliver him not into the hands of his enemies. The Lord help him upon his bed of pain; Thou hast turned all his bed in his sickness. I said, Lord, be merciful unto me; heal my soul, for I have sinned against Thee. Mine enemies spake evil against me: When shall he die, and his name perish? And if he came to see me, his heart spake vanity; he gathered iniquity to himself; he went abroad, and spake in like manner. All they that hate me whispered together against me; against me did they devise evils for me. They set down a wicked word against me, saying, Shall he that sleepeth rise up again? Yea, even the man of my peace, in whom I trusted, which did eat of my bread, hath lifted up his heel against me. But Thou, O Lord, be merciful unto me, and raise me up; and I will requite them. By this I know that Thou delightest in me, because mine enemy shall not rejoice over me. And Thou hast holpen me because of mine innocency, and hast established me before Thy face for ever. Blessed be the Lord God of Israel, from everlasting to everlasting. So be it. So be it."
For the Peace of the world,TF-IDF + GloVe,16.0,Bible,79,1For the End concerning things that shall be changed a testimony for Asaph a psalm  concerning the Assyrian Give heed O You who shepherd Israel Reveal Yourself O You who lead Joseph like a flock Who sit upon the cherubim Raise up Your power Before Ephraim Benjamin and Manasseh And come for our salvation O God convert us And reveal Your face and we shall be saved O Lord God of hosts How long will You be angry with the prayer of Your servant Will You feed us the bread of tears And will You give us as drink tears in measure You made us an offense to our neighbors And our enemies sneered at us O Lord God convert us And reveal Your face and we shall be saved Pause You removed a vineyard from Egypt You cast out the nations and planted it You prepared the way before it And You planted its roots and the earth was filled Its shade covered the mountains And its vines the cedars of God Its branches reached to the sea And its shoots as far as the river Why did You pull down its hedge And all who pass on the road gather its grapes A wild swine from the forest laid it waste A solitary wild beast devoured it O God of hosts convert us now Look down from heaven and behold And visit this vineyard Which Your right hand planted and perfect it And visit the son of man whom You strengthened for Yourself It was set on fire and uprooted But they shall perish at the rebuke of Your face Let Your hand be upon the man of Your right hand And upon the son of man whom You strengthened for Yourself Then we will not turn away from You You will give us life and we will call upon Your name O Lord God of hosts convert us and reveal Your face and we shall be saved
For the Peace of the world,TF-IDF + GloVe,13.98,Bible,122,1An ode of ascents Ilift my eyes to You Whodwell in heaven Behold as the eyes of servants look to the hands of their masters As the eyes of the maidservant look to the hands of her mistress So our eyes look to the Lord our God Until He shall have compassion on us Have mercy on us O Lord have mercy on us For we are greatly filled with contempt Our soul is greatly filled with it We are a disgrace to those who prosper And a contempt to the arrogant
For the Peace of the world,TF-IDF + GloVe,13.46,Bible,56,1For the End corrupt not by David for a pillar inscription when he escaped from the face  of Saul to the cave Have mercy on me O God have mercy on me For my soul trusts in You And in the shadow of Your wings I will hope Until lawlessness shall pass away I will cry out to God most High My God whois my benefactor He sent from heaven and saved me He gave over to disgrace those who trample me down Pause God sent out His mercy and His truth And delivered my soul from the midst of young lions Although troubled I fell asleep As for the sons of men their teeth are a weapon and arrows And their tongue is a sharp dagger Be exalted O God above the heavens And Your glory above all the earth They prepared a trap for my feet And they bowed down my soul They dug a pit before my face But they fell into it Pause My heart is ready O God My heart is ready I will sing and I will sing a psalm Awake my glory Awake harp and lyre I will arise at dawn I will give thanks to You O Lord among the peoples I will sing to You among the Gentiles For Your mercy is magnified to the heavens And Your truth to the clouds Be exalted O God above the heavens And Your glory above all the earth
For the Peace of the world,TF-IDF + GloVe,13.11,Bible,119,An ode of ascents To the Lord in my affliction I cried out and He heard me O Lord deliver my soul from unjust lips And from a deceitful tongue What should be given You and what added to You Against a deceitful tongue The arrows of the Mighty One are sharpened With hot coals from the desert Woe is me My sojourning was prolonged I dwelt with the tents of Kedar My soul sojourned a long time as a resident alien With those who hate peace I was peaceful When I spoke to them they made war against me without cause
For the Peace of the world,TF-IDF + GloVe,12.74,Bible,11,For the End concerning the eighth a psalm by David Save me O Lord for the holy man has ceased The truthful are diminished from among the sons of men Each one speaks useless things to his neighbor Deceptive lips speak with a double heart May the Lord destroy all deceptive lips And the tongue that speaks boastful things Saying We will make our tongue powerful Our lips are our own Who is lord over us Because of the suffering of the needy And because of the groaning of the poor Now I will arise says the Lord Iwill establish them in salvation I will declare it boldly The words of the Lord are pure words Like silver fired in a furnace of earth Purified seven times You shall guard us O Lord You shall preserve us from this generation forever The ungodly walk in a circle In Your exaltation You highly exalted the sons of men
For the Peace of the world,BERT,59.61,Psalter,34,"Judge Thou, O Lord, them that do me injustice; fight against them that fight against me. Take hold of weapon and buckler, and rise up for mine help. Draw out the sword, and stop the way against them that persecute me; say unto my soul, I am Thy salvation. Let them be ashamed and confounded that seek after my soul; let them be turned back and put to shame that devise evil against me. Let them become as chaff before the face of the wind, and let the angel of the Lord afflict them. Let their way be dark and slippery, and let the angel of the Lord pursue them. For without cause have they hid for me destruction in their snare; without cause have they reproached my soul. Let a snare come upon him unawares, and let the snare that he hath hid catch himself; and into that very snare let him fall. But my soul shall exult in the Lord; it shall delight in His salvation. All my bones shall say, Lord, O Lord, who is like unto Thee, Which deliverest the poor from the hand of them that are too strong for him, yea, the poor and needy from them that spoil him? Unjust witnesses did rise up; they charged me with things that I knew not. They rewarded me evil for good, and barrenness to my soul. But as for me, when they troubled me, I put on sackcloth, and humbled my soul with fasting; and my prayer shall return into mine own bosom. I sought to please, as though it had been my neighbour or brother; I humbled myself, as one that is mourning and sad of countenance. But they rejoiced against me, and gathered themselves together; plagues were gathered together upon me, and I knew it not. They were scattered, yet they were not pricked at the heart. They tempted me, they scoffed at me with scorn, they gnashed upon me with their teeth. Lord, when wilt Thou look upon me? Rescue my soul from their mischief, mine onlybegotten one from the lions. I will give Thee thanks in the great congregation; I will praise Thee among a mighty people. Let not them that are my enemies wrongfully rejoice over me, they that hate me without a cause, and wink with the eyes. For they spake unto me peaceably indeed, but in their anger they devised deceits. Yea, they opened their mouth wide against me; they said, Aha, aha, our eyes have seen it. This Thou hast seen, O Lord, keep not silence; O Lord, be not far from me. Arise, O Lord, and attend to my judgment, even unto my cause, my God and my Lord. Judge me, O Lord, according to Thy righteousness; let them not rejoice over me, O Lord my God. Let them not say in their hearts, Aha, aha, it is well to our soul; neither let them say, We have swallowed him up. Let them be ashamed and brought to confusion together that rejoice at my woes. Let them be clothed with shame and confusion that speak great words against me. Let them exult and be glad, that favour my righteous cause; yea, let them that desire the peace of Thy servant say continually, Let the Lord be magnified. And my tongue shall speak of Thy righteousness, and of Thy praise all the day long."
For the Peace of the world,BERT,54.18,Bible,18,For the End a psalm by David The heavens declare the glory of God The firmament shows the creation of His hands Day to day utters speech And night to night reveals knowledge There is no speech nor language Where their voices are not heard Their proclamation went forth into all the earth And their words to the ends of the world In the sun He set His tabernacle And it rejoices exceedingly Like a bridegroom coming forth from his bridal chamber Like a strong man to run a race Its rising is from one end of heaven And its circuit runs to the other end And nothing shall be hidden from its heat The law of the Lord is blameless converting souls The testimony of the Lord is trustworthy making children wise The ordinances of the Lord are right rejoicing the heart The commandment of the Lord is bright enlightening the eyes The fear of the Lord is pure enduring unto ages of ages The judgments of the Lord are true being altogether just More to be desired are they than gold and a very precious stone Sweeter also than honey and the honeycomb For indeed Your servant keeps them In keeping them there is great reward Who will understand his transgressions Cleanse me from hidden sins And spare your servant from unnatural sins If they have no dominion over me then I shall be blameless And I shall be cleansed from great sin Let the words of my mouth and the meditation of my heart Be always pleasing before You O Lord my helper and my redeemer
