Query Category,Query,,,,,Notes
Short Keyword,Forgivness,,,,,
Short Keyword,Love,,,,,
Short Keyword,Belief ,,,,,
Short Keyword,Transgression,,,,,
Phrase / Exact Match,Love for Mankind,,,,,
Long / Complex,Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,,,,,
Long / Complex,Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,,,,,
Long / Complex,Compare psalms that emphasize divine wrath versus psalms that emphasize divine mercy and forgivenessâ€,,,,,
Long / Complex,Psalms containing repeated rhetorical questions directed at God during moments of suffering,,,,,
Long / Complex,"Find psalms describing repentance after sin, especially where the psalmist acknowledges guilt and asks for inner spiritual cleansing",,,,,
Long / Complex,Find psalms that include both crying out for help and later declaring confidence in Godâ€™s justiceâ€,,,,,
Long / Complex,Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,,,,,
Thematic / Semantic,"Psalms that express a transition from deep personal lament and feelings of abandonment to renewed trust and praise, especially where the emotional shift is explicit within the same psalm",,,,,
Thematic / Semantic,"Find psalms that describe God as a refuge and protector in the context of enemies, oppression, or danger, emphasizing both emotional dependence and divine justice",,,,,
Thematic / Semantic,"Which psalms focus on repentance and moral failure, where the psalmist confesses sin, acknowledges personal guilt, and pleads for inner spiritual renewal and cleansing",,,,,
Thematic / Semantic,"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",,,,,
Thematic / Semantic,"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",,,,,
Thematic / Semantic,Psalms that move from lament and despair to praise and renewed trust in God within the same psalm,,,,,
Thematic / Semantic,"Psalms describing God as a refuge and protector during times of danger, oppression, or attack",,,,,
Phrase / Exact Match,Attend to my supplication,,,,,
Phrase / Exact Match,Harken unto my prayer,,,,,
Phrase / Exact Match,For His mercy endureth forever,,,,,
Phrase / Exact Match,Lord I have cried unto thee,,,,,
Phrase / Exact Match,Have Mercy on me,,,,,
Phrase / Exact Match,God with with us,,,,,
Phrase / Exact Match,The Lord is my helper; I will not fear what man shall do unto me.,,,,,
Short Keyword,Deliverance,,,,,
Short Keyword,Refuge,,,,,
Short Keyword,creation,,,,,
Short Keyword,law,,,,,
Orthodox Serivce Quotes,"Blessed is God, who illuminate and sanctifieth every man that cometh into the world: now and ever, and unto ages of ages.",,,,,
Long / Complex,"Identify psalms that celebrate God's sovereignty over creation while connecting natural imageryâ€”such as mountains, seas, storms, and the heavensâ€”to themes of worship, divine power, and human dependence on God.",,,,,
Thematic / Semantic,"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",,,,,
Phrase / Exact Match,"O God, be attentive unto helping me; O Lord make haste to help me. Let them be ashamed and confounded that seek after my soul. ",,,,,Psalm 69
Orthodox Serivce Quotes,Let everything that has breath praise the Lord,,,,,
Phrase / Exact Match,Blessed is the man that feareth the Lord; in His shall he greatly delight,,,,,Psalm 111
Orthodox Serivce Quotes,"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",,,,,Morning Prayer
Orthodox Serivce Quotes,"O God, cleanse me a sinner, for I have done nothing good before Thee. Deliver me from the evil one, and may Thy will be in me, that I might open my unworthy lips without condemnation and praise Thy holy name, Father, Son, and Holy Spirit, now and ever and unto ages of ages. Amen.
",,,,,Morning Prayer: by St. Marcious the Great
Orthodox Serivce Quotes," O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",,,,,Morning Prayer of the Last Elders of Optina
Orthodox Serivce Quotes," O Lord our God, forgive all the sins I have committed this day in word, deed and thought, for Thou art good and lovest mankind. Grant me a peaceful sleep, free of restlessness. Send Thy Guardian Angel to protect and keep me from all harm. For Thou art the Guardian of our souls and bodies, and to Thee we ascribe glory, to the Father, and to the Son, and to the Holy Spirit, now and ever and unto ages of ages. Amen.
",,,,,Evening Prayer: 5th
Orthodox Serivce Quotes," My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",,,,,Evening Prayer
Orthodox Serivce Quotes,"Ye hold matrys, who foughts the good fight and have received your crowns; entreat ye the Lord that he will have mercy on our souls",,,,,Prayer in Ordination of a Deacond
Orthodox Serivce Quotes," You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",,,,,Atkathist to the Hold Spirit: Ekos 8
Orthodox Serivce Quotes,"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",,,,,Prayer in Ordination of a Preist
Orthodox Serivce Quotes,"Accept our evening prayers, o holy Lord, and grant us remission of our sins, for thou alone hast made manifest the Ressurection unto the world",,,,,Vespers: Ten Sitchera
Short Keyword,wisdom,,,,,
Short Keyword,grace,,,,,
Short Keyword,humlitity,,,,,
Short Keyword,thanksgiving,,,,,
Short Keyword,hope,,,,,
Short Keyword,salvation,,,,,
Short Keyword,compassion,,,,,
Short Keyword,struggle,,,,,
Short Keyword,fasting,,,,,
Short Keyword,discernment,,,,,
Thematic / Semantic,fasting for the spirit of abiding in the Lord's will,,,,,
Thematic / Semantic,Raimings in the Lord's will,,,,,
Thematic / Semantic,Preparation for a fruitful form of worship,,,,,
Thematic / Semantic,Judgement at the end of times,,,,,
Phrase / Exact Match,my soul trusteh in the Lord,,,,,
Phrase / Exact Match,"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",,,,,
Phrase / Exact Match,Many rise up against me,,,,,
Thematic / Semantic, Psalms about trusting God after betrayal,,,,,"Psalms about trusting God after betrayal"""
Long / Complex,I fall into the same sin contiously need help finding true repentance,,,,,
Long / Complex, How does the psalmist describe God's compassion toward those who turn back to Him?,,,,,
Phrase / Exact Match,valley of the shadow of death ,,,,,
Long / Complex,Which Psalms offer comfort for someone experiencing anxiety about the future?,,,,,
